"NESDIS";"ID_INAMHI_DB";;"NOMBRE";"GRUPO";"HORA_UTC";"TYPE_MSG";"QC_D";ID_POSTGRES
"39367410";61589;"H0011";"MIRA EN LITA";1;-5;0;1;61589
"393697E2";61669;"H0138";"BLANCO DJ TOACHI";1;-5;0;1;61669
"393735E0";61699;"H0168";"ESMERALDAS DJ SADE";1;-5;0;1;61699
"3936E172";61701;"H0170";"GUAYLLABAMBA AJ BLANCO";1;0;0;1;61701
"3936D4E8";61798;"H0343";"ECHEANDIA EN  ECHEANDIA";1;-5;0;1;61798
"3934F7F0";61801;"H0346";"ZAPOTAL EN LECHUGAL";1;-5;0;1;61801
"39374370";61802;"H0347";"QUEVEDO EN QUEVEDO";1;-5;0;1;61802
"393652FC";61830;"H0375";"CHANCHAN DJ HUATAXI";1;-5;0;1;61830
"39352362";61962;"H0571";"RASPA EN ASERRIO (BUENA VISTA)";1;-5;0;1;61962
"39368494";61970;"H0587";"PINDO AJ AMARILLO";1;-5;0;1;61970
"3936418A";61972;"H0589";"PUYANGO AJ MARCABELI";1;-5;0;1;61972
"393590EC";62175;"H0890";"ZAMORA DJ NANGARITZA";1;-5;0;1;62175
"3933F5C4";62193;"H0908";"UPANO DJ TUTAMANGOZA";1;-5;0;1;62193
"39375006";62398;"H1149";"SANTIAGO EN BATALLoN SANTIAGO";1;-5;0;1;62398
"393244B0";61909;"H0471";"CAÑAR DJ RAURA";1;-5;0;1;61909
"3937F0FE";63963;"H0149";"GUAYLLABAMBA EN PTE CHACAPATA";1;-5;0;1;63963
"3932625C";63828;"H0620";"CATAMAYO EN PTE SANTA ROSA";1;-5;1;163828
"393611F6";61595;"H0017";"APAQUI EN GRUTA DE LA PAZ";2;-5;0;1;61595
"3935C090";61642;"H0064";"EL ANGEL EN PTE. AYORA";2;-5;0;1;61642
"39353014";61708;"H0177";"QUINIDE EN QUINIDE";2;-5;0;1;61708
"3937130C";63831;"H0229";"CARRIZAL EN CALCETA";2;-5;0;1;63831
"3936246C";61758;"H0235";"CHONE EN CHONE";2;-5;0;1;61758
"3937C564";63864;"H0266";"PORTOVIEJO EN H. VASQUEZ";2;-5;0;1;63864
"3937866E";61795;"H0340";"CHIMBO EN BUCAY";2;-5;0;1;61795
"3934E486";61826;"H0371";"SAN PABLO EN PALMAR";2;-5;0;1;61826
"3933E6B2";61897;"H0448";"PAYO AJ BULUBULU";2;-5;0;1;61897
"393806E8";61974;"H0591";"PUYANGO EN CPTO MILITAR";2;-5;0;1;61974
"3937D612";62023;"H0719";"QUIJOS DJ OYACACHI";2;-5;0;1;62023
"39354684";62025;"H0721";"JATUNYACU DJ ILOCULIN";2;-5;0;1;62025
"393776EA";62079;"H0790";"CEBADAS AJ GUAMOTE";2;-5;0;1;62079
"3937E388";62169;"H0884";"ZAMORA AJ BAMBOIZA";2;-5;0;1;62169
"3935F50A";62174;"H0889";"ZAMORA DJ SABANILLA (EN ZAMORA)";2;-5;0;1;62174
"3935839A";62179;"H0894";"PAUTE EN PAUTE";2;-5;0;1;62179
"3933A5B8";62385;"H1136";"NAPO EN NUEVO ROCAFUERTE";2;-5;0;1;62385
"3937B3F4";62402;"H1153";"NAPO AJ PAYAMINO";2;-5;0;1;62402
"39379518";62404;"H1155";"MORONA EN MORONA";2;-5;0;1;62404
"393555F2";62405;"H1156";"NAPO EN AHUANO";2;-5;0;1;62405
"39360280";63962;"H0148";"GUAYLLABAMBA DJ PISQUE";3;-5;0;1;63962
"3935A576";64071;"H0150";"INTAG DJ Pamplona";4;-5;2;1;64071
"3937A082";64070;"H0136";"ALAMBI en Churupamba";4;-5;2;1;64070
